state,district,geoid,total_votes,party,votes,percentage
AL,DISTRICT 1,AL-01,427037,Democratic,288074,67.45879162695503
AL,DISTRICT 1,AL-01,427037,Republican,138963,32.54120837304496
AL,DISTRICT 2,AL-02,434384,Democratic,293182,67.49373825923607
AL,DISTRICT 2,AL-02,434384,Republican,141202,32.50626174076393
AL,DISTRICT 3,AL-03,405749,Democratic,269410,66.39819198568573
AL,DISTRICT 3,AL-03,405749,Republican,136339,33.601808014314265
AL,DISTRICT 4,AL-04,303521,Democratic,271075,89.31013010631884
AL,DISTRICT 4,AL-04,303521,Republican,32446,10.689869893681161
AL,DISTRICT 5,AL-05,295882,Democratic,295882,100.0
AL,DISTRICT 6,AL-06,257299,Democratic,257299,100.0
AL,DISTRICT 7,AL-07,258674,Democratic,258674,100.0
AL,DISTRICT 8,AL-08,304210,Democratic,304210,100.0
AK,DISTRICT 1,AK-01,60591,Democratic,33953,56.03637503919724
AK,DISTRICT 1,AK-01,60591,Republican,26638,43.96362496080276
AZ,DISTRICT 1,AZ-01,193003,Democratic,79763,41.32733688077387
AZ,DISTRICT 1,AZ-01,193003,Republican,113240,58.67266311922612
AZ,DISTRICT 2,AZ-02,110720,Democratic,64510,58.26408959537572
AZ,DISTRICT 2,AZ-02,110720,Republican,46210,41.73591040462428
AZ,DISTRICT 3,AZ-03,45292,Democratic,25359,55.99002031263799
AZ,DISTRICT 3,AZ-03,45292,Republican,19933,44.009979687362005
AR,DISTRICT 3,AR-03,84773,Democratic,58786,69.34519245514493
AR,DISTRICT 3,AR-03,84773,Republican,25987,30.654807544855085
AR,DISTRICT 4,AR-04,96819,Democratic,74972,77.43521416250942
AR,DISTRICT 4,AR-04,96819,Republican,21818,22.534833038969623
AR,DISTRICT 4,AR-04,96819,Other,29,0.02995279852095147
CA,DISTRICT 1,CA-01,198942,Democratic,100962,50.74946466809421
CA,DISTRICT 1,CA-01,198942,Republican,97949,49.23495290084547
CA,DISTRICT 1,CA-01,198942,Other,31,0.015582431060309036
CA,DISTRICT 2,CA-02,164397,Democratic,106239,64.62344203361376
CA,DISTRICT 2,CA-02,164397,Republican,58150,35.37169169753706
CA,DISTRICT 2,CA-02,164397,Other,8,0.004866268849188245
CA,DISTRICT 3,CA-03,184791,Democratic,138257,74.818037674995
CA,DISTRICT 3,CA-03,184791,Republican,46510,25.16897467950279
CA,DISTRICT 3,CA-03,184791,Other,24,0.012987645502216018
CA,DISTRICT 4,CA-04,98345,Democratic,55563,56.49804260511465
CA,DISTRICT 4,CA-04,98345,Republican,42762,43.48162082464792
CA,DISTRICT 4,CA-04,98345,Other,20,0.020336570237429456
CA,DISTRICT 5,CA-05,80179,Democratic,64493,80.43627383728906
CA,DISTRICT 5,CA-05,80179,Republican,15670,19.543770812806347
CA,DISTRICT 5,CA-05,80179,Other,16,0.01995534990458848
CA,DISTRICT 6,CA-06,180194,Democratic,74429,41.30492691210584
CA,DISTRICT 6,CA-06,180194,Republican,105762,58.69340821558986
CA,DISTRICT 6,CA-06,180194,Other,3,0.0016648723042942608
CA,DISTRICT 7,CA-07,133700,Democratic,86215,64.48391922213912
CA,DISTRICT 7,CA-07,133700,Republican,47409,35.459237097980555
CA,DISTRICT 7,CA-07,133700,Other,76,0.056843679880329095
CA,DISTRICT 8,CA-08,133827,Democratic,97014,72.4920980071286
CA,DISTRICT 8,CA-08,133827,Republican,36810,27.50566029276603
CA,DISTRICT 8,CA-08,133827,Other,3,0.002241700105359905
CA,DISTRICT 9,CA-09,120744,Democratic,79616,65.93785198436362
CA,DISTRICT 9,CA-09,120744,Republican,41104,34.042271251573574
CA,DISTRICT 9,CA-09,120744,Other,24,0.019876764062810574
CA,DISTRICT 10,CA-10,175325,Democratic,68885,39.28989020390703
CA,DISTRICT 10,CA-10,175325,Republican,106419,60.69813204049622
CA,DISTRICT 10,CA-10,175325,Other,21,0.011977755596748895
CA,DISTRICT 11,CA-11,163591,Democratic,61623,37.66894266799518
CA,DISTRICT 11,CA-11,163591,Republican,101963,62.32800092914646
CA,DISTRICT 11,CA-11,163591,Other,5,0.003056402858347953
CA,DISTRICT 12,CA-12,123026,Democratic,47576,38.671500333262884
CA,DISTRICT 12,CA-12,123026,Republican,75424,61.30736592265049
CA,DISTRICT 12,CA-12,123026,Other,26,0.02113374408661584
CA,DISTRICT 13,CA-13,130501,Democratic,45746,35.054137516187616
CA,DISTRICT 13,CA-13,130501,Republican,84743,64.93666715197584
CA,DISTRICT 13,CA-13,130501,Other,12,0.009195331836537651
CA,DISTRICT 14,CA-14,157418,Democratic,58369,37.07898715521732
CA,DISTRICT 14,CA-14,157418,Republican,99040,62.91529558246198
CA,DISTRICT 14,CA-14,157418,Other,9,0.005717262320700301
CA,DISTRICT 15,CA-15,139053,Democratic,97322,69.98914083119386
CA,DISTRICT 15,CA-15,139053,Republican,41726,30.007263417545825
CA,DISTRICT 15,CA-15,139053,Other,5,0.003595751260310817
CA,DISTRICT 16,CA-16,150751,Democratic,108339,71.86618994235528
CA,DISTRICT 16,CA-16,150751,Republican,42401,28.126513256960152
CA,DISTRICT 16,CA-16,150751,Other,11,0.007296800684572574
CA,DISTRICT 17,CA-17,111632,Democratic,74964,67.15278773111652
CA,DISTRICT 17,CA-17,111632,Republican,36663,32.8427332664469
CA,DISTRICT 17,CA-17,111632,Other,5,0.004479002436577326
CA,DISTRICT 18,CA-18,155725,Democratic,91684,58.87558195537005
CA,DISTRICT 18,CA-18,155725,Republican,64037,41.12184941403114
CA,DISTRICT 18,CA-18,155725,Other,4,0.0025686305988120084
CA,DISTRICT 19,CA-19,127433,Democratic,78436,61.55077570174131
CA,DISTRICT 19,CA-19,127433,Republican,48976,38.43274505034018
CA,DISTRICT 19,CA-19,127433,Other,21,0.016479247918514045
CA,DISTRICT 20,CA-20,169804,Democratic,49850,29.35737674024169
CA,DISTRICT 20,CA-20,169804,Republican,119938,70.6332006313161
CA,DISTRICT 20,CA-20,169804,Other,16,0.009422628442203953
CA,DISTRICT 21,CA-21,87522,Democratic,74216,84.7969653344302
CA,DISTRICT 21,CA-21,87522,Republican,13294,15.189323827152029
CA,DISTRICT 21,CA-21,87522,Other,12,0.013710838417769248
CA,DISTRICT 22,CA-22,176656,Democratic,94420,53.44851009872295
CA,DISTRICT 22,CA-22,176656,Republican,82207,46.53507381577756
CA,DISTRICT 22,CA-22,176656,Other,29,0.016416085499501857
CA,DISTRICT 23,CA-23,138474,Democratic,45141,32.59889943238442
CA,DISTRICT 23,CA-23,138474,Republican,93320,67.39171252365065
CA,DISTRICT 23,CA-23,138474,Other,13,0.009388043964932044
CA,DISTRICT 24,CA-24,194446,Democratic,46115,23.71609598551783
CA,DISTRICT 24,CA-24,194446,Republican,148190,76.21139030887753
CA,DISTRICT 24,CA-24,194446,Other,141,0.07251370560464088
CA,DISTRICT 25,CA-25,133512,Democratic,63345,47.44517346755348
CA,DISTRICT 25,CA-25,133512,Republican,70154,52.54508957996285
CA,DISTRICT 25,CA-25,133512,Other,13,0.00973695248367188
CA,DISTRICT 26,CA-26,165750,Democratic,103289,62.31613876319758
CA,DISTRICT 26,CA-26,165750,Republican,62441,37.67179487179487
CA,DISTRICT 26,CA-26,165750,Other,20,0.012066365007541479
CA,DISTRICT 27,CA-27,143717,Democratic,49785,34.64099584600291
CA,DISTRICT 27,CA-27,143717,Republican,93890,65.32978005385584
CA,DISTRICT 27,CA-27,143717,Other,42,0.029224100141249817
CA,DISTRICT 28,CA-28,292491,Democratic,81007,27.69555302556318
CA,DISTRICT 28,CA-28,292491,Republican,211404,72.27709570550888
CA,DISTRICT 28,CA-28,292491,Other,80,0.027351268927932822
CA,DISTRICT 29,CA-29,135202,Democratic,69115,51.11980592003077
CA,DISTRICT 29,CA-29,135202,Republican,66079,48.87427700773657
CA,DISTRICT 29,CA-29,135202,Other,8,0.0059170722326592805
CA,DISTRICT 30,CA-30,108699,Democratic,72173,66.39711496885896
CA,DISTRICT 30,CA-30,108699,Republican,36506,33.58448559784359
CA,DISTRICT 30,CA-30,108699,Other,20,0.01839943329745444
CA,DISTRICT 31,CA-31,146605,Democratic,92875,63.350499641894885
CA,DISTRICT 31,CA-31,146605,Republican,53708,36.63449404863409
CA,DISTRICT 31,CA-31,146605,Other,22,0.015006309471027593
CA,DISTRICT 32,CA-32,173954,Democratic,34609,19.895489612196325
CA,DISTRICT 32,CA-32,173954,Republican,139328,80.09473768927418
CA,DISTRICT 32,CA-32,173954,Other,17,0.009772698529496304
CA,DISTRICT 33,CA-33,191480,Democratic,89071,46.517129726342176
CA,DISTRICT 33,CA-33,191480,Republican,102401,53.47869229162314
CA,DISTRICT 33,CA-33,191480,Other,8,0.004177982034677251
CA,DISTRICT 34,CA-34,229391,Democratic,127976,55.7894599177823
CA,DISTRICT 34,CA-34,229391,Republican,101410,44.20836039774882
CA,DISTRICT 34,CA-34,229391,Other,5,0.0021796844688762853
CA,DISTRICT 35,CA-35,259476,Democratic,69873,26.928502057993803
CA,DISTRICT 35,CA-35,259476,Republican,189582,73.06340470794986
CA,DISTRICT 35,CA-35,259476,Other,21,0.00809323405632891
CA,DISTRICT 36,CA-36,163979,Democratic,44365,27.055293665652307
CA,DISTRICT 36,CA-36,163979,Republican,119274,72.73736271107886
CA,DISTRICT 36,CA-36,163979,Other,340,0.20734362326883318
CA,DISTRICT 37,CA-37,130940,Democratic,80060,61.142508018939964
CA,DISTRICT 37,CA-37,130940,Republican,50817,38.809378341224985
CA,DISTRICT 37,CA-37,130940,Other,63,0.04811363983503895
CA,DISTRICT 38,CA-38,152774,Democratic,83216,54.47000144003561
CA,DISTRICT 38,CA-38,152774,Republican,69444,45.455378532996455
CA,DISTRICT 38,CA-38,152774,Other,114,0.07462002696793957
CO,DISTRICT 1,CO-01,169072,Democratic,94680,55.99981073152267
CO,DISTRICT 1,CO-01,169072,Republican,74392,44.000189268477335
CO,DISTRICT 2,CO-02,218174,Democratic,83235,38.15074206825745
CO,DISTRICT 2,CO-02,218174,Republican,134939,61.84925793174255
CO,DISTRICT 3,CO-03,136945,Democratic,62097,45.34448136113038
CO,DISTRICT 3,CO-03,136945,Republican,74848,54.655518638869616
CO,DISTRICT 4,CO-04,72405,Democratic,42462,58.64512119328775
CO,DISTRICT 4,CO-04,72405,Republican,29943,41.35487880671224
CT,DISTRICT 1,CT-01,281612,Democratic,162844,57.82566083831655
CT,DISTRICT 1,CT-01,281612,Republican,118767,42.17398406317913
CT,DISTRICT 1,CT-01,281612,Other,1,0.0003550985043250998
CT,DISTRICT 2,CT-02,164663,Democratic,83652,50.80194093390743
CT,DISTRICT 2,CT-02,164663,Republican,81010,49.19745176512028
CT,DISTRICT 2,CT-02,164663,Other,1,0.0006073009722888566
CT,DISTRICT 3,CT-03,186943,Democratic,104728,56.021354102587416
CT,DISTRICT 3,CT-03,186943,Republican,82215,43.978645897412584
CT,DISTRICT 4,CT-04,254958,Democratic,122362,47.99300276908354
CT,DISTRICT 4,CT-04,254958,Republican,132595,52.006605009452535
CT,DISTRICT 4,CT-04,254958,Other,1,0.000392221463927392
CT,DISTRICT 5,CT-05,142394,Democratic,83321,58.51440369678498
CT,DISTRICT 5,CT-05,142394,Republican,59072,41.4848940264337
CT,DISTRICT 5,CT-05,142394,Other,1,0.0007022767813250558
DE,DISTRICT 1,DE-01,153100,Democratic,81166,53.01502286087525
DE,DISTRICT 1,DE-01,153100,Republican,71934,46.98497713912476
FL,DISTRICT 1,FL-01,43683,Democratic,35781,81.91058306434998
FL,DISTRICT 1,FL-01,43683,Republican,7902,18.089416935650025
FL,DISTRICT 2,FL-02,41378,Democratic,41378,100.0
FL,DISTRICT 3,FL-03,104149,Democratic,59985,57.595368174442385
FL,DISTRICT 3,FL-03,104149,Republican,44164,42.404631825557615
FL,DISTRICT 4,FL-04,104117,Democratic,67136,64.48130468607432
FL,DISTRICT 4,FL-04,104117,Republican,36981,35.51869531392568
FL,DISTRICT 5,FL-05,83391,Democratic,54383,65.21447158566272
FL,DISTRICT 5,FL-05,83391,Republican,29008,34.78552841433728
FL,DISTRICT 6,FL-06,159508,Democratic,102396,64.19489931539484
FL,DISTRICT 6,FL-06,159508,Republican,57112,35.805100684605165
FL,DISTRICT 7,FL-07,78459,Democratic,52417,66.80814183203967
FL,DISTRICT 7,FL-07,78459,Republican,26042,33.19185816796033
FL,DISTRICT 8,FL-08,23396,Democratic,23396,100.0
FL,DISTRICT 9,FL-09,31386,Democratic,23651,75.35525393487542
