state,district,geoid,total votes,party,votes,percentage
AL,DISTRICT 1,AL-01,104712,Democratic,27457,26.221445488578194
AL,DISTRICT 1,AL-01,104712,Republican,63457,60.6014592405837
AL,DISTRICT 1,AL-01,104712,Other,13798,13.177095270838107
AL,DISTRICT 2,AL-02,101563,Democratic,25966,25.56639721158296
AL,DISTRICT 2,AL-02,101563,Republican,62316,61.35699024250958
AL,DISTRICT 2,AL-02,101563,Other,13281,13.076612545907466
AL,DISTRICT 3,AL-03,78552,Democratic,70015,89.13203992259903
AL,DISTRICT 3,AL-03,78552,Republican,0,0.0
AL,DISTRICT 3,AL-03,78552,Other,8537,10.867960077400959
AL,DISTRICT 4,AL-04,92821,Democratic,77701,83.71058273451051
AL,DISTRICT 4,AL-04,92821,Republican,13217,14.2392346559507
AL,DISTRICT 4,AL-04,92821,Other,1903,2.0501826095387896
AL,DISTRICT 5,AL-05,103231,Democratic,78368,75.91518051748022
AL,DISTRICT 5,AL-05,103231,Republican,0,0.0
AL,DISTRICT 5,AL-05,103231,Other,24863,24.084819482519787
AL,DISTRICT 6,AL-06,83338,Democratic,31378,37.651491516475076
AL,DISTRICT 6,AL-06,83338,Republican,50060,60.06863615637524
AL,DISTRICT 6,AL-06,83338,Other,1900,2.27987232714968
AL,DISTRICT 7,AL-07,87797,Democratic,87797,100.0
AL,DISTRICT 7,AL-07,87797,Republican,0,0.0
AL,DISTRICT 8,AL-08,90058,Democratic,76413,84.84865309023074
AL,DISTRICT 8,AL-08,90058,Republican,0,0.0
AL,DISTRICT 8,AL-08,90058,Other,13645,15.15134690976926
AK,DISTRICT 1,AK-01,80084,Democratic,44137,55.1133809500025
AK,DISTRICT 1,AK-01,80084,Republican,35947,44.8866190499975
AZ,DISTRICT 1,AZ-01,145576,Democratic,45870,31.509314722206955
AZ,DISTRICT 1,AZ-01,145576,Republican,99706,68.49068527779303
AZ,DISTRICT 2,AZ-02,125678,Democratic,86760,69.03356195992934
AZ,DISTRICT 2,AZ-02,125678,Republican,37561,29.88669456865959
AZ,DISTRICT 2,AZ-02,125678,Other,1357,1.0797434714110665
AZ,DISTRICT 3,AZ-03,130865,Democratic,49626,37.921522179345125
AZ,DISTRICT 3,AZ-03,130865,Republican,81239,62.078477820654875
AR,DISTRICT 1,AR-01,0,Democratic,0,0
AR,DISTRICT 1,AR-01,0,Republican,0,0
AR,DISTRICT 2,AR-02,0,Democratic,0,0
AR,DISTRICT 2,AR-02,0,Republican,0,0
AR,DISTRICT 3,AR-03,173211,Democratic,57679,33.29984816206823
AR,DISTRICT 3,AR-03,173211,Republican,115532,66.70015183793177
AR,DISTRICT 4,AR-04,0,Democratic,0,0
AR,DISTRICT 4,AR-04,0,Republican,0,0
CA,DISTRICT 1,CA-01,171046,Democratic,108358,63.35020988506016
CA,DISTRICT 1,CA-01,171046,Republican,62688,36.64979011493984
CA,DISTRICT 2,CA-02,193974,Democratic,151070,77.88157175703961
CA,DISTRICT 2,CA-02,193974,Republican,37223,19.18968521554435
CA,DISTRICT 2,CA-02,193974,Other,5681,2.9287430274160453
CA,DISTRICT 3,CA-03,190861,Democratic,117496,61.56103132646271
CA,DISTRICT 3,CA-03,190861,Republican,69811,36.57688055705461
CA,DISTRICT 3,CA-03,190861,Other,3554,1.862088116482676
CA,DISTRICT 4,CA-04,152268,Democratic,103485,67.96240838521554
CA,DISTRICT 4,CA-04,152268,Republican,48783,32.03759161478446
CA,DISTRICT 5,CA-05,108137,Democratic,76567,70.80555221617023
CA,DISTRICT 5,CA-05,108137,Republican,31570,29.19444778382977
CA,DISTRICT 6,CA-06,180648,Democratic,84255,46.64042779327753
CA,DISTRICT 6,CA-06,180648,Republican,96393,53.35957220672246
CA,DISTRICT 7,CA-07,156631,Democratic,89784,57.32198606916894
CA,DISTRICT 7,CA-07,156631,Republican,64691,41.301530348398465
CA,DISTRICT 7,CA-07,156631,Other,2156,1.3764835824325963
CA,DISTRICT 8,CA-08,151183,Democratic,104311,68.9965141583379
CA,DISTRICT 8,CA-08,151183,Republican,46872,31.003485841662094
CA,DISTRICT 9,CA-09,173606,Democratic,120041,69.14565164798452
CA,DISTRICT 9,CA-09,173606,Republican,49556,28.54509636763706
CA,DISTRICT 9,CA-09,173606,Other,4009,2.3092519843784203
CA,DISTRICT 10,CA-10,219045,Democratic,80530,36.76413522335593
CA,DISTRICT 10,CA-10,219045,Republican,135864,62.0256111757858
CA,DISTRICT 10,CA-10,219045,Other,2651,1.2102536008582712
CA,DISTRICT 11,CA-11,186474,Democratic,39188,21.015262181322868
CA,DISTRICT 11,CA-11,186474,Republican,144500,77.49069575383163
CA,DISTRICT 11,CA-11,186474,Other,2786,1.4940420648455013
CA,DISTRICT 12,CA-12,150173,Democratic,50942,33.922209718125096
CA,DISTRICT 12,CA-12,150173,Republican,95549,63.62595140271553
CA,DISTRICT 12,CA-12,150173,Other,3682,2.4518388791593697
CA,DISTRICT 13,CA-13,215826,Democratic,87980,40.76431940544698
CA,DISTRICT 13,CA-13,215826,Republican,125507,58.15193720867736
CA,DISTRICT 13,CA-13,215826,Other,2339,1.083743385875659
CA,DISTRICT 14,CA-14,199405,Democratic,148655,74.54928412025777
CA,DISTRICT 14,CA-14,199405,Republican,50750,25.45071587974223
CA,DISTRICT 15,CA-15,155982,Democratic,98442,63.11112820710082
CA,DISTRICT 15,CA-15,155982,Republican,55546,35.61051916246746
CA,DISTRICT 15,CA-15,155982,Other,1994,1.2783526304317165
CA,DISTRICT 16,CA-16,143198,Democratic,95118,66.42411206860432
CA,DISTRICT 16,CA-16,143198,Republican,43843,30.617047724130224
CA,DISTRICT 16,CA-16,143198,Other,4237,2.9588402072654647
CA,DISTRICT 17,CA-17,134533,Democratic,83739,62.244207740851685
CA,DISTRICT 17,CA-17,134533,Republican,47778,35.51396311685609
CA,DISTRICT 17,CA-17,134533,Other,3016,2.2418291422922256
CA,DISTRICT 18,CA-18,136195,Democratic,48415,35.54829472447594
CA,DISTRICT 18,CA-18,136195,Republican,86071,63.196886816696654
CA,DISTRICT 18,CA-18,136195,Other,1709,1.2548184588274165
CA,DISTRICT 19,CA-19,140040,Democratic,98578,70.39274493001999
CA,DISTRICT 19,CA-19,140040,Republican,41462,29.607255069980003
CA,DISTRICT 20,CA-20,168570,Democratic,50033,29.680844752921637
CA,DISTRICT 20,CA-20,168570,Republican,116437,69.07338197781337
CA,DISTRICT 20,CA-20,168570,Other,2100,1.2457732692649939
CA,DISTRICT 21,CA-21,81356,Democratic,75127,92.34352721372731
CA,DISTRICT 21,CA-21,81356,Republican,4349,5.345641378632184
CA,DISTRICT 21,CA-21,81356,Other,1880,2.3108314076404937
CA,DISTRICT 22,CA-22,160433,Democratic,95256,59.37431825123261
CA,DISTRICT 22,CA-22,160433,Republican,63297,39.4538530102909
CA,DISTRICT 22,CA-22,160433,Other,1880,1.171828738476498
CA,DISTRICT 23,CA-23,122113,Democratic,44767,36.66030643748004
CA,DISTRICT 23,CA-23,122113,Republican,77346,63.33969356251996
CA,DISTRICT 24,CA-24,190724,Democratic,61777,32.390784589249385
CA,DISTRICT 24,CA-24,190724,Republican,124071,65.05264151339108
CA,DISTRICT 24,CA-24,190724,Other,4876,2.5565738973595353
CA,DISTRICT 25,CA-25,183549,Democratic,64386,35.07837144304791
CA,DISTRICT 25,CA-25,183549,Republican,116169,63.2904564993544
CA,DISTRICT 25,CA-25,183549,Other,2994,1.6311720575976987
CA,DISTRICT 26,CA-26,183075,Democratic,130499,71.28171514406664
CA,DISTRICT 26,CA-26,183075,Republican,47260,25.814556875597432
CA,DISTRICT 26,CA-26,183075,Other,5316,2.903727980335928
CA,DISTRICT 27,CA-27,208926,Democratic,63652,30.46628949963145
CA,DISTRICT 27,CA-27,208926,Republican,139326,66.68676947818845
CA,DISTRICT 27,CA-27,208926,Other,5948,2.846941022180102
CA,DISTRICT 28,CA-28,223303,Democratic,57882,25.920834023725607
CA,DISTRICT 28,CA-28,223303,Republican,154691,69.27403572724057
CA,DISTRICT 28,CA-28,223303,Other,10730,4.805130249033824
CA,DISTRICT 29,CA-29,113928,Democratic,71308,62.59040797696791
CA,DISTRICT 29,CA-29,113928,Republican,42620,37.40959202303209
CA,DISTRICT 30,CA-30,93622,Democratic,63903,68.2563927282049
CA,DISTRICT 30,CA-30,93622,Republican,28038,29.948089124351114
CA,DISTRICT 30,CA-30,93622,Other,1681,1.795518147443977
CA,DISTRICT 31,CA-31,139487,Democratic,102071,73.17599489558167
CA,DISTRICT 31,CA-31,139487,Republican,37416,26.82400510441833
CA,DISTRICT 32,CA-32,166845,Democratic,44278,26.538403907818637
CA,DISTRICT 32,CA-32,166845,Republican,119340,71.52746561179538
CA,DISTRICT 32,CA-32,166845,Other,3227,1.9341304803859871
CA,DISTRICT 33,CA-33,160857,Democratic,44764,27.82844389737469
CA,DISTRICT 33,CA-33,160857,Republican,116093,72.17155610262532
CA,DISTRICT 34,CA-34,186674,Democratic,101664,54.460717614665135
CA,DISTRICT 34,CA-34,186674,Republican,82167,44.016306502244554
CA,DISTRICT 34,CA-34,186674,Other,2843,1.522975883090307
CA,DISTRICT 35,CA-35,287526,Democratic,87019,30.2647412755716
CA,DISTRICT 35,CA-35,287526,Republican,192765,67.04263266626323
CA,DISTRICT 35,CA-35,287526,Other,7742,2.6926260581651746
CA,DISTRICT 36,CA-36,185149,Democratic,44841,24.21887236766064
CA,DISTRICT 36,CA-36,185149,Republican,132446,71.53481790341833
CA,DISTRICT 36,CA-36,185149,Other,7862,4.246309728921031
CA,DISTRICT 37,CA-37,130268,Democratic,93952,72.12208677495624
CA,DISTRICT 37,CA-37,130268,Republican,31968,24.540178708508613
CA,DISTRICT 37,CA-37,130268,Other,4348,3.337734516535143
CA,DISTRICT 38,CA-38,175644,Democratic,85684,48.782765138575755
CA,DISTRICT 38,CA-38,175644,Republican,87479,49.804718635421644
CA,DISTRICT 38,CA-38,175644,Other,2481,1.412516226002596
CO,DISTRICT 1,CO-01,164344,Democratic,74444,45.297668305505525
CO,DISTRICT 1,CO-01,164344,Republican,84643,51.50355352188093
CO,DISTRICT 1,CO-01,164344,Other,5257,3.198778172613542
CO,DISTRICT 2,CO-02,199441,Democratic,72339,36.27087710149869
CO,DISTRICT 2,CO-02,199441,Republican,125274,62.81256110829769
CO,DISTRICT 2,CO-02,199441,Other,1828,0.9165617902036192
CO,DISTRICT 3,CO-03,135088,Democratic,87000,64.40246357929645
CO,DISTRICT 3,CO-03,135088,Republican,45610,33.76317659599668
CO,DISTRICT 3,CO-03,135088,Other,2478,1.8343598247068575
CO,DISTRICT 4,CO-04,140663,Democratic,76244,54.20330861704926
CO,DISTRICT 4,CO-04,140663,Republican,62169,44.19712362170578
CO,DISTRICT 4,CO-04,140663,Other,2250,1.5995677612449615
CT,DISTRICT 1,CT-01,181367,Democratic,88374,48.72661509535913
CT,DISTRICT 1,CT-01,181367,Republican,87209,48.08427111878126
CT,DISTRICT 1,CT-01,181367,Other,5784,3.1891137858596106
CT,DISTRICT 2,CT-02,174342,Democratic,81492,46.74260935402829
CT,DISTRICT 2,CT-02,174342,Republican,92846,53.255096304963814
CT,DISTRICT 2,CT-02,174342,Other,4,0.002294341007904005
CT,DISTRICT 3,CT-03,163202,Democratic,89042,54.559380399750005
CT,DISTRICT 3,CT-03,163202,Republican,69084,42.33036359848531
CT,DISTRICT 3,CT-03,163202,Other,5076,3.1102560017646845
CT,DISTRICT 4,CT-04,184621,Democratic,78699,42.6273284187606
CT,DISTRICT 4,CT-04,184621,Republican,104494,56.59919510781547
CT,DISTRICT 4,CT-04,184621,Other,1428,0.7734764734239333
CT,DISTRICT 5,CT-05,177092,Democratic,96947,54.743861947462335
CT,DISTRICT 5,CT-05,177092,Republican,78414,44.27868000813137
CT,DISTRICT 5,CT-05,177092,Other,1731,0.9774580444062974
CT,DISTRICT 6,CT-06,189910,Democratic,96969,51.060502343215205
CT,DISTRICT 6,CT-06,189910,Republican,92936,48.93686483070928
CT,DISTRICT 6,CT-06,189910,Other,5,0.002632826075509452
DE,DISTRICT 1,DE-01,160313,Democratic,71429,44.55596239855782
DE,DISTRICT 1,DE-01,160313,Republican,86125,53.72302932388515
DE,DISTRICT 1,DE-01,160313,Other,2759,1.721008277557029
FL,DISTRICT 1,FL-01,110695,Democratic,88744,80.16983603595465
FL,DISTRICT 1,FL-01,110695,Republican,21951,19.83016396404535
FL,DISTRICT 2,FL-02,0,Democratic,0,0
FL,DISTRICT 2,FL-02,0,Republican,0,0
FL,DISTRICT 3,FL-03,0,Democratic,0,0
