state,county,geoid,total votes,party,votes,percentage
CT,FAIRFIELD,G0900010,364366,Democratic,124978,34.30012679558466
CT,FAIRFIELD,G0900010,364366,Republican,233194,63.999934132163816
CT,FAIRFIELD,G0900010,364366,Other,6194,1.6999390722515273
CT,HARTFORD,G0900030,372586,Democratic,174743,46.90004455347222
CT,HARTFORD,G0900030,372586,Republican,194117,52.099917871310254
CT,HARTFORD,G0900030,372586,Other,3726,1.0000375752175337
CT,LITCHFIELD,G0900050,72219,Democratic,27949,38.700342015259146
CT,LITCHFIELD,G0900050,72219,Republican,43476,60.200224317700325
CT,LITCHFIELD,G0900050,72219,Other,794,1.0994336670405294
CT,MIDDLESEX,G0900070,57424,Democratic,23601,41.09954026191139
CT,MIDDLESEX,G0900070,57424,Republican,33248,57.89913624965172
CT,MIDDLESEX,G0900070,57424,Other,574,0.9995820562830873
CT,NEW HAVEN,G0900090,340323,Democratic,135108,39.69993212330639
CT,NEW HAVEN,G0900090,340323,Republican,200791,59.000126350555206
CT,NEW HAVEN,G0900090,340323,Other,4424,1.2999415261384037
CT,NEW LONDON,G0900110,92301,Democratic,32951,35.69950488077052
CT,NEW LONDON,G0900110,92301,Republican,58519,63.4001798463722
CT,NEW LONDON,G0900110,92301,Other,831,0.9003152728572822
CT,TOLLAND,G0900130,45697,Democratic,19513,42.70083375276276
CT,TOLLAND,G0900130,45697,Republican,25819,56.50042672385496
CT,TOLLAND,G0900130,45697,Other,411,0.8994025866030592
CT,WINDHAM,G0900150,38584,Democratic,16475,42.69904623678208
CT,WINDHAM,G0900150,38584,Republican,21607,55.99989633008501
CT,WINDHAM,G0900150,38584,Other,502,1.3010574331329048
ME,ANDROSCOGGIN,G2300010,38915,Democratic,19496,50.0989335731723
ME,ANDROSCOGGIN,G2300010,38915,Republican,19419,49.9010664268277
ME,ANDROSCOGGIN,G2300010,38915,Other,0,0
ME,AROOSTOOK,G2300030,30525,Democratic,11477,37.5986895986896
ME,AROOSTOOK,G2300030,30525,Republican,19048,62.401310401310404
ME,AROOSTOOK,G2300030,30525,Other,0,0
