state,district,geoid,total_votes,party,votes,percentage
AL,DISTRICT 1,AL-01,91004,Democratic,36482,40.08834776493341
AL,DISTRICT 1,AL-01,91004,Republican,54522,59.91165223506659
AL,DISTRICT 2,AL-02,80980,Democratic,29628,36.58681155840948
AL,DISTRICT 2,AL-02,80980,Republican,49936,61.66460854531983
AL,DISTRICT 2,AL-02,80980,Other,1416,1.7485798962706842
AL,DISTRICT 3,AL-03,27939,Democratic,27939,100.0
AL,DISTRICT 4,AL-04,68545,Democratic,27800,40.557298125319136
AL,DISTRICT 4,AL-04,68545,Republican,40143,58.564446713837626
AL,DISTRICT 4,AL-04,68545,Other,602,0.8782551608432417
AL,DISTRICT 5,AL-05,80744,Democratic,42784,52.987218864559594
AL,DISTRICT 5,AL-05,80744,Republican,37960,47.012781135440406
AL,DISTRICT 6,AL-06,114336,Democratic,45090,39.43639798488665
AL,DISTRICT 6,AL-06,114336,Republican,69246,60.56360201511335
AL,DISTRICT 7,AL-07,109739,Democratic,44386,40.44687850262896
AL,DISTRICT 7,AL-07,109739,Republican,65353,59.55312149737103
AL,DISTRICT 8,AL-08,43842,Democratic,43842,100.0
AK,DISTRICT 1,AK-01,67146,Democratic,34590,51.51460995442767
AK,DISTRICT 1,AK-01,67146,Republican,32556,48.48539004557234
AZ,DISTRICT 1,AZ-01,254176,Democratic,113669,44.720587309580765
AZ,DISTRICT 1,AZ-01,254176,Republican,140507,55.279412690419235
AZ,DISTRICT 2,AZ-02,147281,Democratic,86499,58.730589824892554
AZ,DISTRICT 2,AZ-02,147281,Republican,60782,41.269410175107446
AZ,DISTRICT 3,AZ-03,59367,Democratic,30565,51.48483164047366
AZ,DISTRICT 3,AZ-03,59367,Republican,28802,48.515168359526335
AR,DISTRICT 3,AR-03,130112,Democratic,71228,54.74360550909986
AR,DISTRICT 3,AR-03,130112,Republican,58884,45.25639449090015
CA,DISTRICT 1,CA-01,238710,Democratic,97651,40.90779607054585
CA,DISTRICT 1,CA-01,238710,Republican,141048,59.0875958275732
CA,DISTRICT 1,CA-01,238710,Other,11,0.004608101880943404
CA,DISTRICT 2,CA-02,194620,Democratic,125774,64.62542390299045
CA,DISTRICT 2,CA-02,194620,Republican,68835,35.36892405713699
CA,DISTRICT 2,CA-02,194620,Other,11,0.005652039872572192
CA,DISTRICT 3,CA-03,224332,Democratic,166688,74.30415633971079
CA,DISTRICT 3,CA-03,224332,Republican,57630,25.68960290997272
CA,DISTRICT 3,CA-03,224332,Other,14,0.006240750316495195
CA,DISTRICT 4,CA-04,118122,Democratic,84949,71.9163238008161
CA,DISTRICT 4,CA-04,118122,Republican,33160,28.072670628672054
CA,DISTRICT 4,CA-04,118122,Other,13,0.011005570511843686
CA,DISTRICT 5,CA-05,71639,Democratic,71638,99.99860411228521
CA,DISTRICT 5,CA-05,71639,Other,1,0.0013958877147922221
CA,DISTRICT 6,CA-06,197763,Democratic,71894,36.353615185853776
CA,DISTRICT 6,CA-06,197763,Republican,125869,63.64638481414623
CA,DISTRICT 7,CA-07,152592,Democratic,100901,66.12469854251862
CA,DISTRICT 7,CA-07,152592,Republican,51675,33.864815979867885
CA,DISTRICT 7,CA-07,152592,Other,16,0.010485477613505295
CA,DISTRICT 8,CA-08,154842,Democratic,108771,70.24644476304879
CA,DISTRICT 8,CA-08,154842,Republican,46063,29.748388680073884
CA,DISTRICT 8,CA-08,154842,Other,8,0.005166556877333023
CA,DISTRICT 9,CA-09,166229,Democratic,115954,69.75557814821723
CA,DISTRICT 9,CA-09,166229,Republican,50261,30.235999735304908
CA,DISTRICT 9,CA-09,166229,Other,14,0.008422116477870889
CA,DISTRICT 10,CA-10,239277,Democratic,88240,36.87776092144251
CA,DISTRICT 10,CA-10,239277,Republican,151027,63.11805982188008
CA,DISTRICT 10,CA-10,239277,Other,10,0.004179256677407357
CA,DISTRICT 11,CA-11,211774,Democratic,95747,45.21187681207325
CA,DISTRICT 11,CA-11,211774,Republican,116022,54.78576218043764
CA,DISTRICT 11,CA-11,211774,Other,5,0.0023610074891157553
CA,DISTRICT 12,CA-12,150373,Democratic,57242,38.06667420348068
CA,DISTRICT 12,CA-12,150373,Republican,93112,61.92069054950024
CA,DISTRICT 12,CA-12,150373,Other,19,0.012635247019079223
CA,DISTRICT 13,CA-13,182511,Democratic,77763,42.607294902772985
CA,DISTRICT 13,CA-13,182511,Republican,104744,57.39051344850448
CA,DISTRICT 13,CA-13,182511,Other,4,0.002191648722542751
CA,DISTRICT 14,CA-14,180759,Democratic,63469,35.112497856261655
CA,DISTRICT 14,CA-14,180759,Republican,117272,64.87754413334882
CA,DISTRICT 14,CA-14,180759,Other,18,0.009958010389524173
CA,DISTRICT 15,CA-15,154552,Democratic,109560,70.88876235830011
CA,DISTRICT 15,CA-15,154552,Republican,44977,29.101532170402194
CA,DISTRICT 15,CA-15,154552,Other,15,0.009705471297686216
CA,DISTRICT 16,CA-16,176340,Democratic,117727,66.76137008052626
CA,DISTRICT 16,CA-16,176340,Republican,58604,33.23352614267891
CA,DISTRICT 16,CA-16,176340,Other,9,0.005103776794828173
CA,DISTRICT 17,CA-17,141348,Democratic,95640,67.66278971050174
CA,DISTRICT 17,CA-17,141348,Republican,45688,32.323060814443785
CA,DISTRICT 17,CA-17,141348,Other,20,0.01414947505447548
CA,DISTRICT 18,CA-18,181839,Democratic,121304,66.70956175517904
CA,DISTRICT 18,CA-18,181839,Republican,60523,33.28383900043445
CA,DISTRICT 18,CA-18,181839,Other,12,0.006599244386517745
CA,DISTRICT 19,CA-19,149693,Democratic,97934,65.42323288330115
CA,DISTRICT 19,CA-19,149693,Republican,51747,34.56875070978603
CA,DISTRICT 19,CA-19,149693,Other,12,0.008016406912814893
CA,DISTRICT 20,CA-20,195054,Democratic,62645,32.116747157197494
CA,DISTRICT 20,CA-20,195054,Republican,132402,67.8796640930204
CA,DISTRICT 20,CA-20,195054,Other,7,0.0035887497821116203
CA,DISTRICT 21,CA-21,117677,Democratic,106231,90.2733754259541
CA,DISTRICT 21,CA-21,117677,Republican,11374,9.665440145482975
CA,DISTRICT 21,CA-21,117677,Other,72,0.061184428562930736
CA,DISTRICT 22,CA-22,186294,Democratic,94141,50.533565224859636
CA,DISTRICT 22,CA-22,186294,Republican,92133,49.45569905633032
CA,DISTRICT 22,CA-22,186294,Other,20,0.010735718810052928
CA,DISTRICT 23,CA-23,163664,Democratic,72903,44.544310294261415
CA,DISTRICT 23,CA-23,163664,Republican,90721,55.43124938899208
CA,DISTRICT 23,CA-23,163664,Other,40,0.02444031674650504
CA,DISTRICT 24,CA-24,205758,Democratic,65967,32.0604788149185
CA,DISTRICT 24,CA-24,205758,Republican,139784,67.93611913024039
CA,DISTRICT 24,CA-24,205758,Other,7,0.0034020548411240388
CA,DISTRICT 25,CA-25,146672,Democratic,81320,55.443438420421074
CA,DISTRICT 25,CA-25,146672,Republican,65344,44.551107232464275
CA,DISTRICT 25,CA-25,146672,Other,8,0.005454347114650377
CA,DISTRICT 26,CA-26,193247,Democratic,136025,70.38919103530714
CA,DISTRICT 26,CA-26,193247,Republican,57209,29.60408182274498
CA,DISTRICT 26,CA-26,193247,Other,13,0.006727141947869825
CA,DISTRICT 27,CA-27,160743,Democratic,77587,48.26773172082143
CA,DISTRICT 27,CA-27,160743,Republican,83141,51.7229366131029
CA,DISTRICT 27,CA-27,160743,Other,15,0.009331666075661148
CA,DISTRICT 28,CA-28,313366,Democratic,107852,34.41726288110388
CA,DISTRICT 28,CA-28,313366,Republican,205473,65.56965337656287
CA,DISTRICT 28,CA-28,313366,Other,41,0.01308374233324611
CA,DISTRICT 29,CA-29,154049,Democratic,90208,58.557991288486136
CA,DISTRICT 29,CA-29,154049,Republican,63836,41.438762990996366
CA,DISTRICT 29,CA-29,154049,Other,5,0.0032457205174976794
CA,DISTRICT 30,CA-30,136248,Democratic,90329,66.29748693558804
CA,DISTRICT 30,CA-30,136248,Republican,45912,33.697375374317424
CA,DISTRICT 30,CA-30,136248,Other,7,0.005137690094533498
CA,DISTRICT 31,CA-31,178529,Democratic,114246,63.99296472841948
CA,DISTRICT 31,CA-31,178529,Republican,64256,35.99191167821474
CA,DISTRICT 31,CA-31,178529,Other,27,0.01512359336578371
CA,DISTRICT 32,CA-32,192385,Democratic,59765,31.065311744678638
CA,DISTRICT 32,CA-32,192385,Republican,132603,68.92585180757335
CA,DISTRICT 32,CA-32,192385,Other,17,0.008836447748005303
CA,DISTRICT 33,CA-33,210830,Democratic,109047,51.72271498363611
CA,DISTRICT 33,CA-33,210830,Republican,101742,48.25783806858606
CA,DISTRICT 33,CA-33,210830,Other,41,0.01944694777783048
CA,DISTRICT 34,CA-34,236206,Democratic,137588,58.24915539825407
CA,DISTRICT 34,CA-34,236206,Republican,98606,41.7457642904922
CA,DISTRICT 34,CA-34,236206,Other,12,0.0050803112537361455
CA,DISTRICT 35,CA-35,258101,Democratic,90295,34.98436658517402
CA,DISTRICT 35,CA-35,258101,Republican,167791,65.00982173645201
CA,DISTRICT 35,CA-35,258101,Other,15,0.00581167837396988
CA,DISTRICT 36,CA-36,178395,Democratic,73034,40.939488214355784
CA,DISTRICT 36,CA-36,178395,Republican,105346,59.052103478236496
CA,DISTRICT 36,CA-36,178395,Other,15,0.008408307407718826
CA,DISTRICT 37,CA-37,147008,Democratic,85624,58.24444928167175
CA,DISTRICT 37,CA-37,147008,Republican,61373,41.74806813234654
CA,DISTRICT 37,CA-37,147008,Other,11,0.007482585981715281
CA,DISTRICT 38,CA-38,162187,Democratic,85661,52.816193653005485
CA,DISTRICT 38,CA-38,162187,Republican,76525,47.18318977476616
CA,DISTRICT 38,CA-38,162187,Other,1,0.0006165722283536905
CO,DISTRICT 1,CO-01,205081,Democratic,138475,67.52210102349804
CO,DISTRICT 1,CO-01,205081,Republican,65423,31.901053729989613
CO,DISTRICT 1,CO-01,205081,Other,1183,0.5768452465123536
CO,DISTRICT 2,CO-02,216264,Democratic,109526,50.64458254725706
CO,DISTRICT 2,CO-02,216264,Republican,106738,49.35541745274294
CO,DISTRICT 3,CO-03,166948,Democratic,85404,51.15604858998012
CO,DISTRICT 3,CO-03,166948,Republican,81544,48.84395141001988
CO,DISTRICT 4,CO-04,169302,Democratic,106685,63.01461294018972
CO,DISTRICT 4,CO-04,169302,Republican,62617,36.98538705981028
CT,DISTRICT 1,CT-01,201969,Democratic,141310,69.96618292906336
CT,DISTRICT 1,CT-01,201969,Republican,60654,30.031341443488852
CT,DISTRICT 1,CT-01,201969,Other,5,0.002475627447776639
CT,DISTRICT 2,CT-02,188990,Democratic,119530,63.24673263135616
CT,DISTRICT 2,CT-02,188990,Republican,69403,36.72310704270067
CT,DISTRICT 2,CT-02,188990,Other,57,0.030160325943171598
CT,DISTRICT 3,CT-03,197749,Democratic,126353,63.89564548998984
