state,county,geoid,total_votes,party,votes,percentage
CT,FAIRFIELD,G0900010,314220,Democratic,146427,46.600152759213294
CT,FAIRFIELD,G0900010,314220,Republican,167762,53.38998154159506
CT,FAIRFIELD,G0900010,314220,Other,0,0
CT,HARTFORD,G0900030,331862,Democratic,195400,58.87989586032748
CT,HARTFORD,G0900030,331862,Republican,136428,41.10985891726079
CT,HARTFORD,G0900030,331862,Other,0,0
CT,LITCHFIELD,G0900050,63105,Democratic,29060,46.050233737421756
CT,LITCHFIELD,G0900050,63105,Republican,34039,53.94025829965929
CT,LITCHFIELD,G0900050,63105,Other,0,0
CT,MIDDLESEX,G0900070,44203,Democratic,22155,50.12103250910571
CT,MIDDLESEX,G0900070,44203,Republican,22044,49.86991833133498
CT,MIDDLESEX,G0900070,44203,Other,0,0
CT,NEW HAVEN,G0900090,325537,Democratic,188681,57.95992467830078
CT,NEW HAVEN,G0900090,325537,Republican,136823,42.02993822514799
CT,NEW HAVEN,G0900090,325537,Other,0,0
CT,NEW LONDON,G0900110,78695,Democratic,40622,51.619543808374104
CT,NEW LONDON,G0900110,78695,Republican,38065,48.370290361522336
CT,NEW LONDON,G0900110,78695,Other,0,0
CT,TOLLAND,G0900130,29961,Democratic,14573,48.639898534761855
CT,TOLLAND,G0900130,29961,Republican,15385,51.35008844831614
CT,TOLLAND,G0900130,29961,Other,0,0
CT,WINDHAM,G0900150,35285,Democratic,20102,56.97038401587077
CT,WINDHAM,G0900150,35285,Republican,15180,43.021113787728495
CT,WINDHAM,G0900150,35285,Other,0,0
ME,ANDROSCOGGIN,G2300010,40751,Democratic,26097,64.04014625407966
ME,ANDROSCOGGIN,G2300010,40751,Republican,14650,35.95003803587642
ME,ANDROSCOGGIN,G2300010,40751,Other,0,0
ME,AROOSTOOK,G2300030,33497,Democratic,14799,44.18007582768606
ME,AROOSTOOK,G2300030,33497,Republican,18695,55.81096814640117
ME,AROOSTOOK,G2300030,33497,Other,0,0
ME,CUMBERLAND,G2300050,80824,Democratic,33550,41.50994754033455
ME,CUMBERLAND,G2300050,80824,Republican,47266,58.48015440958131
ME,CUMBERLAND,G2300050,80824,Other,0,0
ME,FRANKLIN,G2300070,9440,Democratic,3303,34.98940677966102
ME,FRANKLIN,G2300070,9440,Republican,6135,64.98940677966102
ME,FRANKLIN,G2300070,9440,Other,0,0
ME,HANCOCK,G2300090,15482,Democratic,3363,21.721999741635447
ME,HANCOCK,G2300090,15482,Republican,12118,78.27154114455497
ME,HANCOCK,G2300090,15482,Other,0,0
ME,KENNEBEC,G2300110,39951,Democratic,18250,45.68095917498936
ME,KENNEBEC,G2300110,39951,Republican,21697,54.30902855998598
ME,KENNEBEC,G2300110,39951,Other,0,0
ME,KNOX,G2300130,12899,Democratic,3816,29.583688658035506
ME,KNOX,G2300130,12899,Republican,9082,70.40855880300798
ME,KNOX,G2300130,12899,Other,0,0
ME,LINCOLN,G2300150,9899,Democratic,2336,23.598343266996665
ME,LINCOLN,G2300150,9899,Republican,7562,76.3915547024952
ME,LINCOLN,G2300150,9899,Other,0,0
ME,OXFORD,G2300170,20666,Democratic,8950,43.30784864027872
ME,OXFORD,G2300170,20666,Republican,11713,56.677634762411685
ME,OXFORD,G2300170,20666,Other,0,0
ME,PENOBSCOT,G2300190,47634,Democratic,19173,40.2506612923542
ME,PENOBSCOT,G2300190,47634,Republican,28457,59.740941344417855
ME,PENOBSCOT,G2300190,47634,Other,0,0
ME,PISCATAQUIS,G2300210,7818,Democratic,2858,36.55666410846764
ME,PISCATAQUIS,G2300210,7818,Republican,4959,63.43054489639294
ME,PISCATAQUIS,G2300210,7818,Other,0,0
ME,SAGADAHOC,G2300230,10351,Democratic,3964,38.29581682929186
ME,SAGADAHOC,G2300230,10351,Republican,6386,61.69452226837987
ME,SAGADAHOC,G2300230,10351,Other,0,0
ME,SOMERSET,G2300250,17098,Democratic,6955,40.67727219557843
ME,SOMERSET,G2300250,17098,Republican,10141,59.31103052988653
ME,SOMERSET,G2300250,17098,Other,0,0
ME,WALDO,G2300270,9689,Democratic,2845,29.363195376199812
ME,WALDO,G2300270,9689,Republican,6843,70.62648364124264
ME,WALDO,G2300270,9689,Other,0,0
ME,WASHINGTON,G2300290,13834,Democratic,4715,34.08269480988868
ME,WASHINGTON,G2300290,13834,Republican,9118,65.91007662281336
ME,WASHINGTON,G2300290,13834,Other,0,0
ME,YORK,G2300310,51934,Democratic,26170,50.39088073323834
ME,YORK,G2300310,51934,Republican,25759,49.59949166249471
ME,YORK,G2300310,51934,Other,0,0
MA,BARNSTABLE,G2500010,33372,Democratic,12421,37.21982500299653
MA,BARNSTABLE,G2500010,33372,Republican,20898,62.62135922330098
MA,BARNSTABLE,G2500010,33372,Other,47,0.14083662950976866
MA,BERKSHIRE,G2500030,68629,Democratic,41129,59.92947587754448
MA,BERKSHIRE,G2500030,68629,Republican,27335,39.83010097772079
MA,BERKSHIRE,G2500030,68629,Other,158,0.23022337495810807
MA,BRISTOL,G2500050,194722,Democratic,130035,66.77981943488666
MA,BRISTOL,G2500050,194722,Republican,64278,33.01013752940089
MA,BRISTOL,G2500050,194722,Other,370,0.19001448218485842
MA,DUKES,G2500070,3286,Democratic,1282,39.01399878271455
MA,DUKES,G2500070,3286,Republican,1998,60.80340839926963
MA,DUKES,G2500070,3286,Other,6,0.18259281801582472
MA,ESSEX,G2500090,295081,Democratic,167872,56.89014202879888
MA,ESSEX,G2500090,295081,Republican,126590,42.90008506138992
MA,ESSEX,G2500090,295081,Other,590,0.19994509982004938
MA,FRANKLIN,G2500110,28011,Democratic,12280,43.83992003141623
MA,FRANKLIN,G2500110,28011,Republican,15681,55.98157866552425
MA,FRANKLIN,G2500110,28011,Other,45,0.1606511727535611
MA,HAMPDEN,G2500130,193828,Democratic,121046,62.45021359143158
MA,HAMPDEN,G2500130,193828,Republican,72046,37.1700683079844
MA,HAMPDEN,G2500130,193828,Other,698,0.3601130899560435
MA,HAMPSHIRE,G2500150,45096,Democratic,25664,56.909703743125775
MA,HAMPSHIRE,G2500150,45096,Republican,19342,42.890722015256344
MA,HAMPSHIRE,G2500150,45096,Other,81,0.17961681745609365
MA,MIDDLESEX,G2500170,603516,Democratic,356074,58.99992709389643
MA,MIDDLESEX,G2500170,603516,Republican,246114,40.78002902988487
MA,MIDDLESEX,G2500170,603516,Other,1207,0.19999469773792242
MA,NANTUCKET,G2500190,1919,Democratic,698,36.37311099531006
MA,NANTUCKET,G2500190,1919,Republican,1219,63.52266805627931
MA,NANTUCKET,G2500190,1919,Other,2,0.10422094841063052
MA,NORFOLK,G2500210,257721,Democratic,135458,52.55993884859984
MA,NORFOLK,G2500210,257721,Republican,121722,47.23014422573248
MA,NORFOLK,G2500210,257721,Other,490,0.19012808424614214
MA,PLYMOUTH,G2500230,118349,Democratic,57174,48.309660411156834
MA,PLYMOUTH,G2500230,118349,Republican,60973,51.519657960777025
MA,PLYMOUTH,G2500230,118349,Other,189,0.15969716685396582
MA,SUFFOLK,G2500250,339617,Democratic,252811,74.4400309760701
MA,SUFFOLK,G2500250,339617,Republican,85719,25.23990259615979
MA,SUFFOLK,G2500250,339617,Other,1019,0.3000438729510007
MA,WORCESTER,G2500270,286333,Democratic,173088,60.44989575075175
MA,WORCESTER,G2500270,286333,Republican,112729,39.36989449347438
MA,WORCESTER,G2500270,286333,Other,487,0.1700816881044099
NH,BELKNAP,G3300010,14786,Democratic,5629,38.069795752739076
NH,BELKNAP,G3300010,14786,Republican,9155,61.91667793859056
NH,BELKNAP,G3300010,14786,Other,0,0
NH,CARROLL,G3300030,9405,Democratic,1918,20.393407761828815
NH,CARROLL,G3300030,9405,Republican,7486,79.5959595959596
NH,CARROLL,G3300030,9405,Other,0,0
NH,CHESHIRE,G3300050,20262,Democratic,8666,42.76971671108479
NH,CHESHIRE,G3300050,20262,Republican,11594,57.220412595005435
NH,CHESHIRE,G3300050,20262,Other,0,0
NH,COOS,G3300070,18252,Democratic,10455,57.28139381985535
NH,COOS,G3300070,18252,Republican,7795,42.70764847687924
NH,COOS,G3300070,18252,Other,0,0
NH,GRAFTON,G3300090,22275,Democratic,7821,35.11111111111111
NH,GRAFTON,G3300090,22275,Republican,14452,64.87991021324355
NH,GRAFTON,G3300090,22275,Other,0,0
NH,HILLSBOROUGH,G3300110,90565,Democratic,52129,57.55976370562579
NH,HILLSBOROUGH,G3300110,90565,Republican,38427,42.430298680505715
NH,HILLSBOROUGH,G3300110,90565,Other,0,0
NH,MERRIMACK,G3300130,33673,Democratic,13277,39.4292162860452
NH,MERRIMACK,G3300130,33673,Republican,20392,60.558904760490606
NH,MERRIMACK,G3300130,33673,Other,0,0
NH,ROCKINGHAM,G3300150,45095,Democratic,17059,37.829027608382304
NH,ROCKINGHAM,G3300150,45095,Republican,28031,62.15988468788114
NH,ROCKINGHAM,G3300150,45095,Other,0,0
NH,STRAFFORD,G3300170,27874,Democratic,14333,51.42067876874506
NH,STRAFFORD,G3300170,27874,Republican,13538,48.568558513309895
NH,STRAFFORD,G3300170,27874,Other,0,0
NH,SULLIVAN,G3300190,13574,Democratic,6468,47.64991896272285
NH,SULLIVAN,G3300190,13574,Republican,7105,52.34271401208193
NH,SULLIVAN,G3300190,13574,Other,0,0
RI,BRISTOL,G4400010,18636,Democratic,11098,59.55140588109036
RI,BRISTOL,G4400010,18636,Republican,7536,40.437862202189315
RI,BRISTOL,G4400010,18636,Other,0,0
RI,KENT,G4400030,55006,Democratic,30660,55.73937388648511
RI,KENT,G4400030,55006,Republican,24340,44.24971821255863
RI,KENT,G4400030,55006,Other,0,0
RI,NEWPORT,G4400050,27619,Democratic,15677,56.76164958905101
