state,county,geoid,total_votes,party,votes,percentage
CT,FAIRFIELD,G0900010,333949,Democratic,139357,41.730024644481645
CT,FAIRFIELD,G0900010,333949,Republican,173119,51.83995160937748
CT,FAIRFIELD,G0900010,333949,American Independent,21373,6.400079053987286
CT,FAIRFIELD,G0900010,333949,Other,0,0
CT,HARTFORD,G0900030,339384,Democratic,190870,56.240129175211564
CT,HARTFORD,G0900030,339384,Republican,131749,38.82003865827499
CT,HARTFORD,G0900030,339384,American Independent,16630,4.900054215873465
CT,HARTFORD,G0900030,339384,Other,0,0
CT,LITCHFIELD,G0900050,64295,Democratic,29338,45.63029784586671
CT,LITCHFIELD,G0900050,64295,Republican,31427,48.879384088964926
CT,LITCHFIELD,G0900050,64295,American Independent,3536,5.499650050548254
CT,LITCHFIELD,G0900050,64295,Other,0,0
CT,MIDDLESEX,G0900070,48432,Democratic,23727,48.990336967294354
CT,MIDDLESEX,G0900070,48432,Republican,21998,45.4203832177073
CT,MIDDLESEX,G0900070,48432,American Independent,2712,5.599603567888999
CT,MIDDLESEX,G0900070,48432,Other,0,0
CT,NEW HAVEN,G0900090,314139,Democratic,159645,50.81985999828101
CT,NEW HAVEN,G0900090,314139,Republican,130493,41.53989157665874
CT,NEW HAVEN,G0900090,314139,American Independent,23875,7.600138792063387
CT,NEW HAVEN,G0900090,314139,Other,0,0
CT,NEW LONDON,G0900110,83502,Democratic,41509,49.71018658235731
CT,NEW LONDON,G0900110,83502,Republican,37117,44.45043232497425
CT,NEW LONDON,G0900110,83502,American Independent,4843,5.799861081171708
CT,NEW LONDON,G0900110,83502,Other,0,0
CT,TOLLAND,G0900130,36591,Democratic,18006,49.20882184143642
CT,TOLLAND,G0900130,36591,Republican,16667,45.54945205105081
CT,TOLLAND,G0900130,36591,American Independent,1903,5.20073242054057
CT,TOLLAND,G0900130,36591,Other,0,0
CT,WINDHAM,G0900150,34640,Democratic,19097,55.129907621247106
CT,WINDHAM,G0900150,34640,Republican,14161,40.88048498845265
CT,WINDHAM,G0900150,34640,American Independent,1386,4.001154734411085
CT,WINDHAM,G0900150,34640,Other,0,0
ME,ANDROSCOGGIN,G2300010,37752,Democratic,26819,71.03994490358126
ME,ANDROSCOGGIN,G2300010,37752,Republican,10389,27.519071837253655
ME,ANDROSCOGGIN,G2300010,37752,American Independent,529,1.4012502648866285
ME,ANDROSCOGGIN,G2300010,37752,Other,0,0
ME,AROOSTOOK,G2300030,29236,Democratic,15045,51.460528116021344
ME,AROOSTOOK,G2300030,29236,Republican,13919,47.60911205363251
ME,AROOSTOOK,G2300030,29236,American Independent,263,0.8995758653714597
ME,AROOSTOOK,G2300030,29236,Other,0,0
ME,CUMBERLAND,G2300050,78048,Democratic,44698,57.26988519885199
ME,CUMBERLAND,G2300050,78048,Republican,32273,41.35019475194752
ME,CUMBERLAND,G2300050,78048,American Independent,1093,1.400420254202542
ME,CUMBERLAND,G2300050,78048,Other,0,0
ME,FRANKLIN,G2300070,8596,Democratic,4307,50.10469986040018
ME,FRANKLIN,G2300070,8596,Republican,4127,48.01070265239646
ME,FRANKLIN,G2300070,8596,American Independent,163,1.8962308050255932
ME,FRANKLIN,G2300070,8596,Other,0,0
ME,HANCOCK,G2300090,14185,Democratic,4979,35.1004582305252
ME,HANCOCK,G2300090,14185,Republican,8929,62.94677476207261
ME,HANCOCK,G2300090,14185,American Independent,284,2.0021149101163203
ME,HANCOCK,G2300090,14185,Other,0,0
ME,KENNEBEC,G2300110,38292,Democratic,21754,56.8108221038337
ME,KENNEBEC,G2300110,38292,Republican,16010,41.810299801525126
ME,KENNEBEC,G2300110,38292,American Independent,536,1.3997701869842265
ME,KENNEBEC,G2300110,38292,Other,0,0
ME,KNOX,G2300130,11918,Democratic,5119,42.95183755663702
ME,KNOX,G2300130,11918,Republican,6585,55.252559154220506
ME,KNOX,G2300130,11918,American Independent,215,1.8039939587179057
ME,KNOX,G2300130,11918,Other,0,0
ME,LINCOLN,G2300150,9261,Democratic,3380,36.49713853795487
ME,LINCOLN,G2300150,9261,Republican,5659,61.105712126120295
ME,LINCOLN,G2300150,9261,American Independent,222,2.397149335924846
ME,LINCOLN,G2300150,9261,Other,0,0
ME,OXFORD,G2300170,19275,Democratic,10869,56.389105058365764
ME,OXFORD,G2300170,19275,Republican,8030,41.66018158236057
ME,OXFORD,G2300170,19275,American Independent,366,1.8988326848249026
ME,OXFORD,G2300170,19275,Other,0,0
ME,PENOBSCOT,G2300190,44999,Democratic,24326,54.05897908842419
ME,PENOBSCOT,G2300190,44999,Republican,20011,44.46987710838018
ME,PENOBSCOT,G2300190,44999,American Independent,675,1.5000333340740906
ME,PENOBSCOT,G2300190,44999,Other,0,0
ME,PISCATAQUIS,G2300210,6918,Democratic,3561,51.47441457068517
ME,PISCATAQUIS,G2300210,6918,Republican,3199,46.24168834923388
